Dim = 11
Support = 11

Elem = 2 11 11 11 11 11 11 11 11 11 11 
Type = 1 1 1 1 1 1 1 1 1 1 1 

0 0 0 0 0 0 0 0 0 0 0 
1 1 1 1 1 1 1 1 1 1 1 

1 1 1 1 1 1 1 1 1 1 0 
0 1 1 1 1 1 1 1 1 1 1 
1 0 1 1 1 1 1 1 1 1 1 
1 1 0 1 1 1 1 1 1 1 1 
1 1 1 0 1 1 1 1 1 1 1 
1 1 1 1 0 1 1 1 1 1 1 
1 1 1 1 1 0 1 1 1 1 1 
1 1 1 1 1 1 0 1 1 1 1 
1 1 1 1 1 1 1 0 1 1 1 
1 1 1 1 1 1 1 1 0 1 1 
1 1 1 1 1 1 1 1 1 0 1 

1 1 1 1 1 1 1 1 1 0 0 
0 1 1 1 1 1 1 1 1 1 0 
0 0 1 1 1 1 1 1 1 1 1 
1 0 0 1 1 1 1 1 1 1 1 
1 1 0 0 1 1 1 1 1 1 1 
1 1 1 0 0 1 1 1 1 1 1 
1 1 1 1 0 0 1 1 1 1 1 
1 1 1 1 1 0 0 1 1 1 1 
1 1 1 1 1 1 0 0 1 1 1 
1 1 1 1 1 1 1 0 0 1 1 
1 1 1 1 1 1 1 1 0 0 1 

1 1 1 1 1 1 1 1 0 0 0 
0 1 1 1 1 1 1 1 1 0 0 
0 0 1 1 1 1 1 1 1 1 0 
0 0 0 1 1 1 1 1 1 1 1 
1 0 0 0 1 1 1 1 1 1 1 
1 1 0 0 0 1 1 1 1 1 1 
1 1 1 0 0 0 1 1 1 1 1 
1 1 1 1 0 0 0 1 1 1 1 
1 1 1 1 1 0 0 0 1 1 1 
1 1 1 1 1 1 0 0 0 1 1 
1 1 1 1 1 1 1 0 0 0 1 

1 1 1 1 1 1 1 0 0 0 0 
0 1 1 1 1 1 1 1 0 0 0 
0 0 1 1 1 1 1 1 1 0 0 
0 0 0 1 1 1 1 1 1 1 0 
0 0 0 0 1 1 1 1 1 1 1 
1 0 0 0 0 1 1 1 1 1 1 
1 1 0 0 0 0 1 1 1 1 1 
1 1 1 0 0 0 0 1 1 1 1 
1 1 1 1 0 0 0 0 1 1 1 
1 1 1 1 1 0 0 0 0 1 1 
1 1 1 1 1 1 0 0 0 0 1 

1 1 1 1 1 1 0 0 0 0 0 
0 1 1 1 1 1 1 0 0 0 0 
0 0 1 1 1 1 1 1 0 0 0 
0 0 0 1 1 1 1 1 1 0 0 
0 0 0 0 1 1 1 1 1 1 0 
0 0 0 0 0 1 1 1 1 1 1 
1 0 0 0 0 0 1 1 1 1 1 
1 1 0 0 0 0 0 1 1 1 1 
1 1 1 0 0 0 0 0 1 1 1 
1 1 1 1 0 0 0 0 0 1 1 
1 1 1 1 1 0 0 0 0 0 1 

1 1 1 1 1 0 0 0 0 0 0 
0 1 1 1 1 1 0 0 0 0 0 
0 0 1 1 1 1 1 0 0 0 0 
0 0 0 1 1 1 1 1 0 0 0 
0 0 0 0 1 1 1 1 1 0 0 
0 0 0 0 0 1 1 1 1 1 0 
0 0 0 0 0 0 1 1 1 1 1 
1 0 0 0 0 0 0 1 1 1 1 
1 1 0 0 0 0 0 0 1 1 1 
1 1 1 0 0 0 0 0 0 1 1 
1 1 1 1 0 0 0 0 0 0 1 

1 1 1 1 0 0 0 0 0 0 0 
0 1 1 1 1 0 0 0 0 0 0 
0 0 1 1 1 1 0 0 0 0 0 
0 0 0 1 1 1 1 0 0 0 0 
0 0 0 0 1 1 1 1 0 0 0 
0 0 0 0 0 1 1 1 1 0 0 
0 0 0 0 0 0 1 1 1 1 0 
0 0 0 0 0 0 0 1 1 1 1 
1 0 0 0 0 0 0 0 1 1 1 
1 1 0 0 0 0 0 0 0 1 1 
1 1 1 0 0 0 0 0 0 0 1 

1 1 1 0 0 0 0 0 0 0 0 
0 1 1 1 0 0 0 0 0 0 0 
0 0 1 1 1 0 0 0 0 0 0 
0 0 0 1 1 1 0 0 0 0 0 
0 0 0 0 1 1 1 0 0 0 0 
0 0 0 0 0 1 1 1 0 0 0 
0 0 0 0 0 0 1 1 1 0 0 
0 0 0 0 0 0 0 1 1 1 0 
0 0 0 0 0 0 0 0 1 1 1 
1 0 0 0 0 0 0 0 0 1 1 
1 1 0 0 0 0 0 0 0 0 1 

1 1 0 0 0 0 0 0 0 0 0 
0 1 1 0 0 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 0 0 
0 0 0 1 1 0 0 0 0 0 0 
0 0 0 0 1 1 0 0 0 0 0 
0 0 0 0 0 1 1 0 0 0 0 
0 0 0 0 0 0 1 1 0 0 0 
0 0 0 0 0 0 0 1 1 0 0 
0 0 0 0 0 0 0 0 1 1 0 
0 0 0 0 0 0 0 0 0 1 1 
1 0 0 0 0 0 0 0 0 0 1 

1 0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 0 0 0 
0 0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 1 

