Dim = 7
Support = 7

Elem = 2 7 7 7 7 7 7 
Type = 1 1 1 1 1 1 1 

0 0 0 0 0 0 0 
1 1 1 1 1 1 1 

1 1 1 1 1 1 0 
0 1 1 1 1 1 1 
1 0 1 1 1 1 1 
1 1 0 1 1 1 1 
1 1 1 0 1 1 1 
1 1 1 1 0 1 1 
1 1 1 1 1 0 1 

1 1 1 1 1 0 0 
0 1 1 1 1 1 0 
0 0 1 1 1 1 1 
1 0 0 1 1 1 1 
1 1 0 0 1 1 1 
1 1 1 0 0 1 1 
1 1 1 1 0 0 1 

1 1 1 1 0 0 0 
0 1 1 1 1 0 0 
0 0 1 1 1 1 0 
0 0 0 1 1 1 1 
1 0 0 0 1 1 1 
1 1 0 0 0 1 1 
1 1 1 0 0 0 1 

1 1 1 0 0 0 0 
0 1 1 1 0 0 0 
0 0 1 1 1 0 0 
0 0 0 1 1 1 0 
0 0 0 0 1 1 1 
1 0 0 0 0 1 1 
1 1 0 0 0 0 1 

1 1 0 0 0 0 0 
0 1 1 0 0 0 0 
0 0 1 1 0 0 0 
0 0 0 1 1 0 0 
0 0 0 0 1 1 0 
0 0 0 0 0 1 1 
1 0 0 0 0 0 1 

1 0 0 0 0 0 0 
0 1 0 0 0 0 0 
0 0 1 0 0 0 0 
0 0 0 1 0 0 0 
0 0 0 0 1 0 0 
0 0 0 0 0 1 0 
0 0 0 0 0 0 1 

