Dim = 8
Support = 8

Elem = 2 8 8 8 8 8 8 8 
Type = 1 1 1 1 1 1 1 1 

0 0 0 0 0 0 0 0 
1 1 1 1 1 1 1 1 

1 1 1 1 1 1 1 0 
0 1 1 1 1 1 1 1 
1 0 1 1 1 1 1 1 
1 1 0 1 1 1 1 1 
1 1 1 0 1 1 1 1 
1 1 1 1 0 1 1 1 
1 1 1 1 1 0 1 1 
1 1 1 1 1 1 0 1 

1 1 1 1 1 1 0 0 
0 1 1 1 1 1 1 0 
0 0 1 1 1 1 1 1 
1 0 0 1 1 1 1 1 
1 1 0 0 1 1 1 1 
1 1 1 0 0 1 1 1 
1 1 1 1 0 0 1 1 
1 1 1 1 1 0 0 1 

1 1 1 1 1 0 0 0 
0 1 1 1 1 1 0 0 
0 0 1 1 1 1 1 0 
0 0 0 1 1 1 1 1 
1 0 0 0 1 1 1 1 
1 1 0 0 0 1 1 1 
1 1 1 0 0 0 1 1 
1 1 1 1 0 0 0 1 

1 1 1 1 0 0 0 0 
0 1 1 1 1 0 0 0 
0 0 1 1 1 1 0 0 
0 0 0 1 1 1 1 0 
0 0 0 0 1 1 1 1 
1 0 0 0 0 1 1 1 
1 1 0 0 0 0 1 1 
1 1 1 0 0 0 0 1 

1 1 1 0 0 0 0 0 
0 1 1 1 0 0 0 0 
0 0 1 1 1 0 0 0 
0 0 0 1 1 1 0 0 
0 0 0 0 1 1 1 0 
0 0 0 0 0 1 1 1 
1 0 0 0 0 0 1 1 
1 1 0 0 0 0 0 1 

1 1 0 0 0 0 0 0 
0 1 1 0 0 0 0 0 
0 0 1 1 0 0 0 0 
0 0 0 1 1 0 0 0 
0 0 0 0 1 1 0 0 
0 0 0 0 0 1 1 0 
0 0 0 0 0 0 1 1 
1 0 0 0 0 0 0 1 

1 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 
0 0 0 1 0 0 0 0 
0 0 0 0 1 0 0 0 
0 0 0 0 0 1 0 0 
0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 1 

