Dim = 9
Support = 9

Elem = 2 9 9 9 9 9 9 9 9 
Type = 1 1 1 1 1 1 1 1 1 

0 0 0 0 0 0 0 0 0 
1 1 1 1 1 1 1 1 1 

1 1 1 1 1 1 1 1 0 
0 1 1 1 1 1 1 1 1 
1 0 1 1 1 1 1 1 1 
1 1 0 1 1 1 1 1 1 
1 1 1 0 1 1 1 1 1 
1 1 1 1 0 1 1 1 1 
1 1 1 1 1 0 1 1 1 
1 1 1 1 1 1 0 1 1 
1 1 1 1 1 1 1 0 1 

1 1 1 1 1 1 1 0 0 
0 1 1 1 1 1 1 1 0 
0 0 1 1 1 1 1 1 1 
1 0 0 1 1 1 1 1 1 
1 1 0 0 1 1 1 1 1 
1 1 1 0 0 1 1 1 1 
1 1 1 1 0 0 1 1 1 
1 1 1 1 1 0 0 1 1 
1 1 1 1 1 1 0 0 1 

1 1 1 1 1 1 0 0 0 
0 1 1 1 1 1 1 0 0 
0 0 1 1 1 1 1 1 0 
0 0 0 1 1 1 1 1 1 
1 0 0 0 1 1 1 1 1 
1 1 0 0 0 1 1 1 1 
1 1 1 0 0 0 1 1 1 
1 1 1 1 0 0 0 1 1 
1 1 1 1 1 0 0 0 1 

1 1 1 1 1 0 0 0 0 
0 1 1 1 1 1 0 0 0 
0 0 1 1 1 1 1 0 0 
0 0 0 1 1 1 1 1 0 
0 0 0 0 1 1 1 1 1 
1 0 0 0 0 1 1 1 1 
1 1 0 0 0 0 1 1 1 
1 1 1 0 0 0 0 1 1 
1 1 1 1 0 0 0 0 1 

1 1 1 1 0 0 0 0 0 
0 1 1 1 1 0 0 0 0 
0 0 1 1 1 1 0 0 0 
0 0 0 1 1 1 1 0 0 
0 0 0 0 1 1 1 1 0 
0 0 0 0 0 1 1 1 1 
1 0 0 0 0 0 1 1 1 
1 1 0 0 0 0 0 1 1 
1 1 1 0 0 0 0 0 1 

1 1 1 0 0 0 0 0 0 
0 1 1 1 0 0 0 0 0 
0 0 1 1 1 0 0 0 0 
0 0 0 1 1 1 0 0 0 
0 0 0 0 1 1 1 0 0 
0 0 0 0 0 1 1 1 0 
0 0 0 0 0 0 1 1 1 
1 0 0 0 0 0 0 1 1 
1 1 0 0 0 0 0 0 1 

1 1 0 0 0 0 0 0 0 
0 1 1 0 0 0 0 0 0 
0 0 1 1 0 0 0 0 0 
0 0 0 1 1 0 0 0 0 
0 0 0 0 1 1 0 0 0 
0 0 0 0 0 1 1 0 0 
0 0 0 0 0 0 1 1 0 
0 0 0 0 0 0 0 1 1 
1 0 0 0 0 0 0 0 1 

1 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 0 
0 0 0 0 1 0 0 0 0 
0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 1 

